CMDLINE python demo_DEQ.py
MEM 0.656250 1727969821.1427
MEM 53.703125 1727969821.2431
MEM 183.132812 1727969821.3434
MEM 202.152344 1727969821.4438
MEM 217.035156 1727969821.5441
MEM 240.988281 1727969821.6444
MEM 272.792969 1727969821.7448
MEM 290.601562 1727969821.8451
MEM 301.402344 1727969821.9454
MEM 310.105469 1727969822.0457
MEM 314.484375 1727969822.1460
MEM 322.148438 1727969822.2463
MEM 325.242188 1727969822.3467
MEM 329.109375 1727969822.4470
MEM 336.058594 1727969822.5474
MEM 341.675781 1727969822.6477
MEM 350.695312 1727969822.7480
MEM 355.726562 1727969822.8482
MEM 360.902344 1727969822.9486
MEM 364.906250 1727969823.0489
MEM 374.472656 1727969823.1492
MEM 384.328125 1727969823.2495
MEM 394.164062 1727969823.3498
MEM 399.308594 1727969823.4501
MEM 406.089844 1727969823.5504
MEM 418.644531 1727969823.6508
MEM 418.644531 1727969823.7515
MEM 418.644531 1727969823.8524
MEM 418.644531 1727969823.9529
MEM 418.644531 1727969824.0538
MEM 418.644531 1727969824.1546
MEM 418.644531 1727969824.2555
MEM 418.644531 1727969824.3563
MEM 418.644531 1727969824.4570
MEM 418.644531 1727969824.5578
MEM 418.644531 1727969824.6586
MEM 418.644531 1727969824.7589
MEM 418.644531 1727969824.8591
MEM 418.644531 1727969824.9594
MEM 418.644531 1727969825.0596
MEM 418.988281 1727969825.1600
MEM 425.332031 1727969825.2603
MEM 426.218750 1727969825.3606
MEM 434.554688 1727969825.4609
MEM 441.000000 1727969825.5612
MEM 444.050781 1727969825.6615
MEM 449.062500 1727969825.7618
MEM 457.296875 1727969825.8621
MEM 467.289062 1727969825.9624
MEM 482.164062 1727969826.0627
MEM 488.316406 1727969826.1631
MEM 494.757812 1727969826.2635
MEM 509.562500 1727969826.3638
MEM 515.253906 1727969826.4641
MEM 521.457031 1727969826.5644
MEM 525.234375 1727969826.6647
MEM 527.042969 1727969826.7650
MEM 536.320312 1727969826.8653
MEM 541.773438 1727969826.9656
MEM 547.636719 1727969827.0659
MEM 553.281250 1727969827.1662
MEM 557.855469 1727969827.2665
MEM 583.746094 1727969827.3669
MEM 584.714844 1727969827.4672
MEM 605.269531 1727969827.5676
MEM 614.000000 1727969827.6679
MEM 657.214844 1727969827.7685
MEM 667.332031 1727969827.8688
MEM 677.652344 1727969827.9691
MEM 685.070312 1727969828.0695
MEM 690.503906 1727969828.1698
MEM 699.953125 1727969828.2701
MEM 723.550781 1727969828.3704
MEM 731.195312 1727969828.4707
MEM 734.722656 1727969828.5710
MEM 860.714844 1727969828.6713
MEM 902.449219 1727969828.7716
MEM 906.261719 1727969828.8719
MEM 907.203125 1727969828.9722
MEM 907.433594 1727969829.0725
MEM 907.445312 1727969829.1729
MEM 907.761719 1727969829.2732
MEM 907.781250 1727969829.3735
MEM 907.792969 1727969829.4739
MEM 907.796875 1727969829.5742
MEM 907.839844 1727969829.6745
MEM 907.898438 1727969829.7748
MEM 951.070312 1727969829.8752
MEM 1026.218750 1727969829.9756
MEM 1049.898438 1727969830.0759
MEM 1064.671875 1727969830.1762
MEM 1064.671875 1727969830.2765
MEM 1064.671875 1727969830.3767
MEM 1064.671875 1727969830.4770
MEM 1064.671875 1727969830.5773
MEM 1064.671875 1727969830.6776
MEM 1064.671875 1727969830.7778
MEM 1064.671875 1727969830.8781
MEM 1064.671875 1727969830.9784
MEM 1064.671875 1727969831.0787
MEM 1064.671875 1727969831.1790
MEM 1064.671875 1727969831.2792
MEM 1064.671875 1727969831.3795
MEM 1064.671875 1727969831.4798
MEM 1064.671875 1727969831.5801
MEM 1064.671875 1727969831.6804
MEM 1064.671875 1727969831.7807
MEM 1064.671875 1727969831.8809
MEM 1064.671875 1727969831.9812
MEM 1084.269531 1727969832.0815
MEM 1142.871094 1727969832.1818
MEM 1150.515625 1727969832.2821
MEM 1178.089844 1727969832.3823
