CMDLINE python examples/plug-and-play/demo_RED_GSPnP_SR.py
MEM 0.625000 1726157619.3030
MEM 66.378906 1726157619.4033
MEM 195.093750 1726157619.5036
MEM 216.617188 1726157619.6039
MEM 262.269531 1726157619.7041
MEM 287.851562 1726157619.8044
MEM 301.839844 1726157619.9046
MEM 312.722656 1726157620.0049
MEM 321.144531 1726157620.1052
MEM 327.589844 1726157620.2055
MEM 335.800781 1726157620.3058
MEM 350.937500 1726157620.4061
MEM 362.394531 1726157620.5064
MEM 369.781250 1726157620.6066
MEM 387.746094 1726157620.7069
MEM 391.375000 1726157620.8072
MEM 404.132812 1726157620.9074
MEM 408.570312 1726157621.0077
MEM 419.914062 1726157621.1079
MEM 426.769531 1726157621.2082
MEM 436.691406 1726157621.3084
MEM 438.296875 1726157621.4087
MEM 448.644531 1726157621.5090
MEM 467.941406 1726157621.6093
MEM 478.121094 1726157621.7095
MEM 484.296875 1726157621.8098
MEM 486.320312 1726157621.9101
MEM 503.562500 1726157622.0103
MEM 516.339844 1726157622.1106
MEM 524.082031 1726157622.2108
MEM 532.960938 1726157622.3111
MEM 558.718750 1726157622.4114
MEM 586.414062 1726157622.5117
MEM 626.945312 1726157622.6120
MEM 634.445312 1726157622.7122
MEM 652.207031 1726157622.8125
MEM 656.695312 1726157622.9128
MEM 680.750000 1726157623.0131
MEM 697.390625 1726157623.1134
MEM 705.531250 1726157623.2136
MEM 717.523438 1726157623.3139
MEM 732.984375 1726157623.4142
MEM 801.222656 1726157623.5145
MEM 834.394531 1726157623.6153
MEM 833.242188 1726157623.7157
MEM 875.066406 1726157623.8162
MEM 833.109375 1726157623.9165
MEM 834.449219 1726157624.0170
MEM 834.449219 1726157624.1173
MEM 834.449219 1726157624.2177
MEM 834.449219 1726157624.3180
MEM 834.953125 1726157624.4219
MEM 834.953125 1726157624.5222
MEM 834.953125 1726157624.6226
MEM 834.953125 1726157624.7229
MEM 834.953125 1726157624.8232
MEM 834.953125 1726157624.9235
MEM 834.953125 1726157625.0239
MEM 834.953125 1726157625.1242
MEM 834.953125 1726157625.2245
MEM 834.953125 1726157625.3248
MEM 834.953125 1726157625.4252
MEM 834.953125 1726157625.5255
MEM 834.953125 1726157625.6257
MEM 834.953125 1726157625.7261
MEM 834.953125 1726157625.8264
MEM 834.953125 1726157625.9268
MEM 834.953125 1726157626.0272
MEM 834.953125 1726157626.1276
MEM 834.953125 1726157626.2280
MEM 834.953125 1726157626.3283
MEM 834.953125 1726157626.4286
MEM 834.953125 1726157626.5290
MEM 834.953125 1726157626.6293
MEM 834.953125 1726157626.7296
MEM 834.953125 1726157626.8299
MEM 834.953125 1726157626.9302
MEM 834.953125 1726157627.0305
MEM 834.953125 1726157627.1309
MEM 834.953125 1726157627.2313
MEM 834.953125 1726157627.3316
MEM 834.953125 1726157627.4320
MEM 834.953125 1726157627.5323
MEM 834.953125 1726157627.6328
MEM 834.953125 1726157627.7331
MEM 834.953125 1726157627.8334
MEM 834.953125 1726157627.9337
MEM 834.953125 1726157628.0340
MEM 834.953125 1726157628.1344
MEM 834.953125 1726157628.2347
MEM 834.953125 1726157628.3352
MEM 834.953125 1726157628.4355
MEM 834.953125 1726157628.5358
MEM 834.953125 1726157628.6361
MEM 834.953125 1726157628.7365
MEM 834.953125 1726157628.8368
MEM 834.953125 1726157628.9371
MEM 834.953125 1726157629.0374
MEM 834.953125 1726157629.1378
MEM 834.953125 1726157629.2381
MEM 834.953125 1726157629.3384
MEM 834.953125 1726157629.4387
MEM 834.953125 1726157629.5391
MEM 834.953125 1726157629.6394
MEM 834.953125 1726157629.7397
MEM 834.953125 1726157629.8401
MEM 834.953125 1726157629.9403
MEM 834.953125 1726157630.0406
MEM 834.953125 1726157630.1409
MEM 834.953125 1726157630.2412
MEM 834.953125 1726157630.3415
MEM 834.953125 1726157630.4418
MEM 834.953125 1726157630.5423
MEM 834.953125 1726157630.6426
MEM 834.953125 1726157630.7429
MEM 834.953125 1726157630.8432
MEM 834.953125 1726157630.9436
MEM 834.953125 1726157631.0439
MEM 834.953125 1726157631.1441
MEM 834.953125 1726157631.2445
MEM 834.953125 1726157631.3450
MEM 834.953125 1726157631.4453
MEM 834.953125 1726157631.5456
MEM 834.953125 1726157631.6460
MEM 834.953125 1726157631.7463
MEM 834.953125 1726157631.8466
MEM 834.953125 1726157631.9469
MEM 837.070312 1726157632.0472
MEM 837.070312 1726157632.1475
MEM 838.558594 1726157632.2478
MEM 842.683594 1726157632.3481
MEM 842.941406 1726157632.4485
MEM 843.621094 1726157632.5488
MEM 843.835938 1726157632.6495
MEM 843.835938 1726157632.7502
MEM 843.835938 1726157632.8509
MEM 843.835938 1726157632.9514
MEM 843.835938 1726157633.0520
MEM 843.835938 1726157633.1527
MEM 843.835938 1726157633.2531
MEM 843.835938 1726157633.3537
MEM 843.933594 1726157633.4540
MEM 843.933594 1726157633.5547
MEM 843.933594 1726157633.6553
MEM 843.941406 1726157633.7560
MEM 843.941406 1726157633.8564
MEM 843.941406 1726157633.9569
MEM 843.941406 1726157634.0574
MEM 843.941406 1726157634.1579
MEM 843.941406 1726157634.2585
MEM 843.941406 1726157634.3592
MEM 845.398438 1726157634.4595
MEM 848.730469 1726157634.5597
MEM 849.675781 1726157634.6600
MEM 852.664062 1726157634.7603
MEM 852.664062 1726157634.8606
MEM 852.664062 1726157634.9609
MEM 852.699219 1726157635.0612
MEM 852.699219 1726157635.1615
MEM 852.699219 1726157635.2621
MEM 852.699219 1726157635.3625
MEM 852.699219 1726157635.4628
MEM 852.699219 1726157635.5634
MEM 852.699219 1726157635.6638
MEM 852.699219 1726157635.7644
MEM 852.699219 1726157635.8651
MEM 852.699219 1726157635.9658
MEM 852.699219 1726157636.0665
MEM 852.699219 1726157636.1672
MEM 852.699219 1726157636.2679
MEM 852.699219 1726157636.3685
MEM 852.699219 1726157636.4692
MEM 852.699219 1726157636.5699
MEM 852.699219 1726157636.6706
MEM 852.699219 1726157636.7712
MEM 852.699219 1726157636.8720
MEM 852.699219 1726157636.9727
MEM 852.699219 1726157637.0734
MEM 852.824219 1726157637.1737
MEM 852.824219 1726157637.2740
MEM 852.824219 1726157637.3743
MEM 852.074219 1726157637.4746
MEM 852.074219 1726157637.5749
MEM 852.074219 1726157637.6752
MEM 806.234375 1726157637.7755
MEM 823.441406 1726157637.8758
